0;1;2;3;4;5;6;7;8;9
;;;DESCRIÇÃO DO FATURAMENTO;;;;;;
Itens de Fatura;Unid;Quant;Preço unit (R$);Valor (R$);PIS/COFINS;Base Calc;Alíquota;ICMS;Tarifa
;;;com tributos;;;ICMS (R$);ICMS;;unit (R$)
Energia Ativa Fornecida TE;kWh;324;0,35870;116,22;4,57;116,22;20,00%;23,24;0,27291
Energia Ativa Fornecida TUSD;kWh;324;0,59065;191,37;7,54;191,37;20,00%;38,27;0,44929
Energia Atv Inj TE mUC 09/2024 mPT;kWh;294;0,35874-;105,47-;4,15-;105,47-;20,00%;21,09-;0,27291
Energia Atv Inj TUSD mUC 09/2024 mPT;kWh;294;0,47255-;138,93-;6,84-;0,00;0,00%;0,00;0,44929
Adic Band Vermelha Comp;kWh;294;0,01997-;5,87-;0,23-;5,87-;20,00%;1,17-;0,01525
Adicional Band Vermelha;kWh;324;0,01994;6,46;0,24;6,46;20,00%;1,29;0,01522
CIP ILUM PUB PREF MUNICIPAL;;;;68,87;0,00;0,00;0,00%;0,00;
Juros Moratórios;;;;0,54;0,00;0,00;0,00%;0,00;
Multa;;;;1,26;0,00;0,00;0,00%;0,00;
Subtotal Faturamento;;;;63,78;;;;;
Subtotal Outros;;;;70,67;;;;;
;;;;134,45;1,13;202,71;;40,54;
TOTAL;;;;;;;;;
;EQUIPAMENTOS DE MEDIÇÃO E CONSUMO NO PERIODO;;;;;;;;
N° MedidorPHorário/Segmento;Data Leitura;Leitura;Data Leitura;;Leitura;Fator Multiplicador;;Consumo kWh;N° Dias
6938979-ELE-728HFP;07/08/2024;95990;06/09/2024;;99230;10;;3240;31
6938979-ELE-728HFP INJ;07/08/2024;126230;06/09/2024;;130320;10;;4090;31
